Probe Name	Accession #	NS Probe ID	Class Name	Analyte Type	% Samples above Threshold	Annotation																																														
								Mock1	Mock2	Mock3	1493-1 6h	1493-1 6h	1493-1 6h	1493-2 6h	1493-2 6h	1493-2 6h	1493-1 24h	1493-1 24h	1493-1 24h	1493-2 24h	1493-2 24h	1493-2 24h	Mock4	Mock5	Mock6	1488-1 6h	1488-1 6h	1488-1 6h	1488-2 6h	1488-2 6h	1488-2 6h	1488-1 24h	1488-1 24h	1488-1 24h	1488-2 24h	1488-2 24h	1488-2 24h	Mock7	Mock8	Mock9	1484-1 24h	1484-1 24h	1484-1 24h	1484-2 24h	1484-2 24h	1484-2 24h	1484-2 6h	1484-2 6h	1484-2 6h	1484-1 6h	1484-1 6h	1484-1 6h
																																																				
AANAT	NM_001088.2	AANAT	Endogenous	mRNA	98.08			1.18	5	3.46	2.82	4.56	8.99	4.68	6.86	7.4	6.51	4.37	2.2	3.48	2.93	3.41	5.79	1.14	2.27	6.89	1.88	1.06	1.93	1	2.09	4.68	6.23	4.42	6.37	8.61	7.17	3.48	5.26	6.26	4.98	5.77	5.39	9.66	6.48	5.39	5.65	7.22	7.34	4.94	2.64	3.3
ABCA1	NM_005502.3	ABCA1	Endogenous	mRNA	100			1429.11	1526.99	1549.87	1410.25	1404.15	1413.32	1335.74	1427.86	1331.51	1393.52	1358.12	1406.27	1187.74	1463.44	1313.26	408.8	683.62	490.78	540.69	1156.32	915.62	498.41	1102.29	1133.32	714.9	689.16	738.73	701.97	740.77	789.14	665.17	720.22	709.32	647.56	732.16	750.18	797.57	818.83	735.09	715.59	703.39	753.95	567.82	731.75	712.76
ABR	NM_001092.4	ABR	Endogenous	mRNA	100			1261.12	1374.09	1368.82	1404.6	1457.34	1305.49	1342.29	1379.81	1409.71	1310.24	1377.8	1275.33	1408.85	1651.7	1599.04	674.91	895.47	744.47	645.15	953.25	890.51	558.94	934	872.46	846.03	812.63	778.78	922.61	1024.02	1034.54	896.53	856.87	962.2	899.89	919.72	868.14	980.51	911.29	1003.44	667.95	655.07	685.29	655.06	647.48	661.83
ACC (ACACA)	NM_198834.1	ACC (ACACA)	Endogenous	mRNA	100			20.11	31.98	24.22	22.56	24.31	17.97	20.58	26.09	32.76	20.82	29.52	20.91	16.7	14.65	14.32	22.2	8.5	15.11	12.85	15.99	18.21	15.39	18.68	13.34	14.5	24.66	13.94	29.36	27.79	25.93	23.97	22.23	26.92	18.87	25.17	22.85	11.95	12.47	16.2	12.91	11.8	12.71	11.29	12.69	9.52
AIFM1	NM_004208.2	AIFM1	Endogenous	mRNA	100			110.02	132.91	137.23	165	142.85	164.31	114.12	122.19	120.47	137.92	157.46	124.34	92.08	102.01	81.51	99.24	81.17	81.88	107.94	102.08	105.22	76.77	102.17	93.32	98.97	86.41	84	128.25	120.14	109.14	109.72	90.73	99.75	105.92	105.42	89.12	135.99	104.73	120.78	128.29	137.4	112.12	117.61	125.63	112.04
APEX1	NM_001641.2	APEX1	Endogenous	mRNA	100			267.37	287.81	288.29	276.41	264.42	254.17	253.49	297.93	309.63	274.54	258.06	232.18	218.06	209.8	212.96	211.83	160.6	166.05	194.85	180.73	180.75	205.34	177	162.25	270.61	241.62	238.26	210.74	259.34	233.95	249.47	265.98	241.54	302.87	210.06	212.51	284.19	258.92	253.83	249.07	250.57	274.06	254.36	290.14	233.24
AQP3	NM_004925.4	AQP3	Endogenous	mRNA	100			126.59	130.91	119.93	118.46	100.3	125.8	103.83	105.72	114.13	161.34	123.56	113.34	124.35	92.37	126.81	129.63	68.76	90.38	142.19	62.64	79.33	101.11	58.59	41.68	100.72	83.33	93.74	87.99	74.18	68.22	89.79	84.45	89.5	95.58	76.81	87.46	84.38	90.82	94.4	92.72	98.99	85.36	87.5	97.4	87.76
AR	NM_000044.3	AR	Endogenous	mRNA	94.23			4.73	5	3.46	2.82	3.04	5.13	1.87	8.24	9.51	9.11	5.47	8.8	5.01	7.38	5.73	19.42	5.1	12.69	15.41	3.15	6.23	2.42	1.23	2.55	1	4.22	7.99	5.55	2.19	3.89	1.57	3.89	2.12	1	1	3.13	8.13	8.58	3.97	12.48	20.18	22.69	7.27	7.77	11.34
ASMTL	NM_004192.2	ASMTL	Endogenous	mRNA	100			138.42	147.9	136.07	148.08	141.33	165.59	161.82	157.89	178.59	171.75	148.72	163.95	182.9	174.2	176.94	169.11	123.39	123.86	154.2	100.62	116.93	143.54	106.98	103.88	119.48	100.24	98.72	111.7	112.76	116.1	103.04	133.41	107.77	104.15	106.68	107.31	142.74	124.33	135.94	116.22	112.39	96.93	101.59	124.14	111.72
